transaction_id,timestamp,sender_account,receiver_account,sender_person_id,receiver_person_id,amount,transaction_type,bank,reference,case_id
TXN0001,2026-08-07 23:13:00,563827924712,416983251054,P052,P050,300000,RTGS,BOI,REF229056,FIR-0170-2026
TXN0002,2026-07-03 13:55:00,416983251054,716982312231,P050,P056,49500,NEFT,SBI,REF701249,FIR-0170-2026
TXN0003,2026-04-09 14:38:00,716982312231,935585932472,P056,P078,25000,IMPS,PNB,REF105169,FIR-0170-2026
TXN0004,2026-05-12 13:32:00,907088677296,639629979370,P060,P021,5000,UPI,SBI,REF465001,FIR-0117-2026
TXN0005,2026-07-02 15:12:00,639629979370,563827924712,P021,P052,25000,UPI,PNB,REF753729,FIR-0117-2026
TXN0006,2026-02-02 09:53:00,659525545507,659684504779,P010,P077,12000,RTGS,BOI,REF122845,FIR-0139-2026
TXN0007,2026-07-05 19:06:00,659684504779,464591521945,P077,P029,12000,IMPS,PNB,REF666174,FIR-0139-2026
TXN0008,2026-04-20 11:15:00,381623041254,515598626866,P047,P039,48000,NEFT,PNB,REF339169,FIR-0158-2026
TXN0009,2026-01-13 07:53:00,499657459855,156335443002,P031,P001,5000,UPI,ICICI,REF877933,FIR-0237-2026
TXN0010,2026-04-27 07:53:00,156335443002,633413233107,P001,P019,48000,IMPS,PNB,REF920090,FIR-0237-2026
TXN0011,2026-06-13 02:52:00,633413233107,598943501571,P019,P018,12000,IMPS,BOI,REF254882,FIR-0237-2026
TXN0012,2026-06-20 21:27:00,311437229124,608510235848,P055,P012,25000,IMPS,HDFC,REF667362,FIR-0181-2026
TXN0013,2026-04-25 02:48:00,819466472152,495735448189,P026,P013,49500,IMPS,Axis,REF907358,FIR-0222-2026
TXN0014,2026-03-01 02:57:00,495735448189,865490895882,P013,P073,49500,RTGS,HDFC,REF556872,FIR-0222-2026
TXN0015,2026-01-25 12:40:00,865490895882,997275026957,P073,P046,48000,UPI,BOI,REF709375,FIR-0222-2026
TXN0016,2026-03-31 06:35:00,303069782041,108213336805,P058,P053,12000,NEFT,Axis,REF885363,FIR-0383-2026
TXN0017,2026-02-06 23:00:00,108213336805,506739373402,P053,P002,75000,UPI,SBI,REF942960,FIR-0383-2026
TXN0018,2026-03-20 22:52:00,506739373402,448445124247,P002,P017,25000,RTGS,BOI,REF233793,FIR-0383-2026
TXN0019,2026-04-28 15:51:00,188158283793,936822674856,P011,P033,150000,RTGS,Axis,REF118959,FIR-0276-2026
