cdr_id,timestamp,caller_phone,receiver_phone,duration_seconds,call_type,tower_id,case_id
C0001,2026-07-17 14:31:00,9857952636,9841506919,161,sms,TWR-036,FIR-0170-2026
C0002,2026-03-10 15:04:00,9841506919,9809353657,583,voice,TWR-026,FIR-0170-2026
C0003,2026-03-25 22:44:00,9809353657,9837839412,638,voice,TWR-026,FIR-0170-2026
C0004,2026-04-08 14:38:00,9832446332,9830337290,620,voice,TWR-033,FIR-0117-2026
C0005,2026-02-07 00:09:00,9830337290,9857952636,214,sms,TWR-015,FIR-0117-2026
C0006,2026-01-28 03:30:00,9823594177,9875180561,666,voice,TWR-018,FIR-0139-2026
C0007,2026-02-04 00:02:00,9875180561,9882494692,582,sms,TWR-004,FIR-0139-2026
C0008,2026-07-11 08:55:00,9823911726,9860219034,312,voice,TWR-031,FIR-0158-2026
C0009,2026-06-14 21:41:00,9860219034,9819342369,685,voice,TWR-037,FIR-0158-2026
C0010,2026-05-24 14:04:00,9805829940,9891940269,596,voice,TWR-007,FIR-0237-2026
C0011,2026-07-13 12:44:00,9891940269,9846847120,195,sms,TWR-012,FIR-0237-2026
C0012,2026-07-07 00:43:00,9846847120,9867408122,492,voice,TWR-017,FIR-0237-2026
C0013,2026-07-13 00:11:00,9867408122,9873578662,134,voice,TWR-030,FIR-0237-2026
C0014,2026-02-05 23:40:00,9830296061,9821425195,73,voice,TWR-026,FIR-0181-2026
C0015,2026-07-28 21:27:00,9821425195,9894837925,294,voice,TWR-029,FIR-0181-2026
C0016,2026-07-04 11:43:00,9836174724,9807767152,649,voice,TWR-026,FIR-0222-2026
C0017,2026-07-04 00:02:00,9807767152,9802540435,217,voice,TWR-026,FIR-0222-2026
C0018,2026-01-28 17:52:00,9802540435,9875652793,567,voice,TWR-020,FIR-0222-2026
C0019,2026-05-17 09:27:00,9875652793,9872258685,531,voice,TWR-010,FIR-0222-2026
C0020,2026-02-20 23:51:00,9849386017,9861493980,766,voice,TWR-014,FIR-0383-2026
C0021,2026-01-28 22:24:00,9861493980,9857455174,824,voice,TWR-040,FIR-0383-2026
C0022,2026-04-23 14:42:00,9857455174,9838017599,713,voice,TWR-008,FIR-0383-2026
C0023,2026-04-27 17:46:00,9838017599,9855458693,832,voice,TWR-025,FIR-0383-2026
C0024,2026-02-09 01:27:00,9893037095,9840190744,77,voice,TWR-020,FIR-0276-2026
C0025,2026-03-27 13:07:00,9856596682,9844888703,600,sms,TWR-014,FIR-0284-2026
C0026,2026-06-09 01:53:00,9844888703,9851195185,751,voice,TWR-025,FIR-0284-2026
C0027,2026-03-29 01:20:00,9851195185,9860353574,481,voice,TWR-004,FIR-0284-2026
C0028,2026-03-19 21:42:00,9852111328,9855803876,591,voice,TWR-006,FIR-0430-2026
