fir_id,case_id,date,police_station,district,state,sections_of_law,complainant,accused_person_ids,phone_numbers,vehicle_ids,account_ids,description,status
FIR-0170-2026,FIR-0170-2026,2026-06-16,Marol PS,Mumbai,Maharashtra,BNS 61 (Criminal Conspiracy),Pooja Shaikh,P052|P050|P056|P078,9857952636|9841506919|9809353657,V016|V035,563827924712|416983251054,Complaint registered regarding an incident involving 4 accused person(s) in the Marol area. Investigation ongoing.,Closed
FIR-0117-2026,FIR-0117-2026,2026-04-15,Wadala PS,Mumbai,Maharashtra,BNS 61 (Criminal Conspiracy),Rakesh Bhatt,P060|P021|P052,9832446332|9830337290|9857952636,V015|V057,907088677296|639629979370,Complaint registered regarding an incident involving 3 accused person(s) in the Wadala area. Investigation ongoing.,Closed
FIR-0139-2026,FIR-0139-2026,2026-04-03,Andheri PS,Mumbai,Maharashtra,PMLA 3/4,Farhan Qureshi,P010|P077|P029,9823594177|9875180561|9882494692,V014|V026,659525545507|659684504779,Complaint registered regarding an incident involving 3 accused person(s) in the Andheri East area. Investigation ongoing.,Under Investigation
FIR-0158-2026,FIR-0158-2026,2026-02-11,Pune Camp PS,Pune,Maharashtra,Arms Act 25,Kiran More,P047|P004|P039,9823911726|9860219034|9819342369,V017|V048,381623041254|515598626866,Complaint registered regarding an incident involving 3 accused person(s) in the Pune Camp area. Investigation ongoing.,Closed
FIR-0237-2026,FIR-0237-2026,2026-02-25,Worli PS,Mumbai,Maharashtra,NDPS Act 20/22,Rakesh Shinde,P008|P031|P001|P019|P018,9805829940|9891940269|9846847120,V010|V024,499657459855|156335443002,Complaint registered regarding an incident involving 5 accused person(s) in the Worli area. Investigation ongoing.,Under Investigation
FIR-0181-2026,FIR-0181-2026,2026-03-07,Pune Camp PS,Pune,Maharashtra,BNS 351 (Criminal Intimidation),Ravi Pawar,P049|P055|P012,9830296061|9821425195|9894837925,V005|V039,311437229124|608510235848,Complaint registered regarding an incident involving 3 accused person(s) in the Pune Camp area. Investigation ongoing.,Under Investigation
FIR-0222-2026,FIR-0222-2026,2026-02-19,Byculla PS,Mumbai,Maharashtra,BNS 61 (Criminal Conspiracy),Rakesh Iyer,P026|P013|P073|P044|P046,9836174724|9807767152|9802540435,V006|V013,819466472152|495735448189,Complaint registered regarding an incident involving 5 accused person(s) in the Byculla area. Investigation ongoing.,Closed
FIR-0383-2026,FIR-0383-2026,2026-06-17,Shivaji Nagar PS,Pune,Maharashtra,BNS 318 (Cheating),Shreya Khan,P058|P062|P053|P002|P017,9849386017|9861493980|9857455174,V008|V033,303069782041|108213336805,Complaint registered regarding an incident involving 5 accused person(s) in the Shivaji Nagar area. Investigation ongoing.,Under Investigation
FIR-0276-2026,FIR-0276-2026,2026-07-20,Vashi PS,Navi Mumbai,Maharashtra,PMLA 3/4,Farhan Yadav,P011|P033,9893037095|9840190744,V058,188158283793|936822674856,Complaint registered regarding an incident involving 2 accused person(s) in the Vashi area. Investigation ongoing.,Under Investigation
FIR-0284-2026,FIR-0284-2026,2026-06-03,Thane PS,Thane,Maharashtra,PMLA 3/4,Aisha Joshi,P041|P061|P042|P072,9856596682|9844888703|9851195185,V007|V030,866143934306|247798572911,Complaint registered regarding an incident involving 4 accused person(s) in the Thane West area. Investigation ongoing.,Chargesheet Filed
FIR-0430-2026,FIR-0430-2026,2026-05-04,Byculla PS,Mumbai,Maharashtra,BNS 318 (Cheating),Vikram Rane,P006|P069|P025|P035|P071,9852111328|9855803876|9856217697,V012|V029,643395353869|371047947936,Complaint registered regarding an incident involving 5 accused person(s) in the Byculla area. Investigation ongoing.,Closed
FIR-0144-2026,FIR-0144-2026,2026-05-25,Kurla PS,Mumbai,Maharashtra,BNS 336 (Forgery),Javed Joshi,P059|P024|P066,9890047244|9879591375|9866012999,V020|V027,804552973739|287935222511,Complaint registered regarding an incident involving 3 accused person(s) in the Kurla West area. Investigation ongoing.,Closed
