subscriber_id,phone_number,person_id,subscriber_name,operator,activation_date,address,case_ids
T001,9846847120,P001,Vikram Momin,Jio,2024-12-26,"Chembur, Mumbai",FIR-0237-2026
T002,9838017599,P002,Vikram Rao,Airtel,2025-06-09,"Thane West, Mumbai",FIR-0383-2026
T003,9806427386,P003,Deepak Shetty,Airtel,2025-06-07,"Vashi, Mumbai",FIR-0360-2026
T004,9860219034,P004,Ravi Kulkarni,Jio,2025-08-02,"Wadala, Mumbai",FIR-0158-2026
T005,9857130787,P005,Javed Patil,Jio,2025-10-06,"Andheri East, Mumbai",FIR-0163-2026
T006,9852111328,P006,Rakesh Gaikwad,BSNL,2025-01-18,"Mankhurd, Mumbai",FIR-0430-2026
T007,9883070557,P007,Rehana Rane,Vi,2025-10-11,"Dharavi, Mumbai",FIR-0108-2026
T008,9805829940,P008,Rehana Gaikwad,Airtel,2024-12-11,"Bandra East, Mumbai",FIR-0237-2026
T009,9876097873,P009,Ajay Iyer,BSNL,2025-03-30,"Kurla West, Mumbai",FIR-0373-2026
T010,9823594177,P010,Arun Sheikh,BSNL,2025-02-07,"Vashi, Mumbai",FIR-0139-2026
T011,9893037095,P011,Nitin Rane,Vi,2025-11-14,"Kurla West, Mumbai",FIR-0276-2026
T012,9894837925,P012,Kavita Bhosale,Vi,2025-12-21,"Kurla West, Mumbai",FIR-0181-2026
T013,9807767152,P013,Mahesh Bhosale,BSNL,2025-01-30,"Vashi, Mumbai",FIR-0222-2026
T014,9850210617,P014,Imran Bhosale,Jio,2025-07-06,"Dharavi, Mumbai",FIR-0295-2026
T015,9800839065,P015,Ashok Yadav,Vi,2025-06-22,"Chembur, Mumbai",FIR-0345-2026
T016,9872785178,P016,Vijay Kadam,BSNL,2025-06-14,"Vashi, Mumbai",FIR-0305-2026
T017,9855458693,P017,Suresh Shaikh,Jio,2025-11-20,"Mankhurd, Mumbai",FIR-0383-2026
T018,9873578662,P018,Rajesh Shaikh,Jio,2025-09-15,"Chembur, Mumbai",FIR-0237-2026
T019,9867408122,P019,Vikram Jadhav,Vi,2025-07-18,"Mankhurd, Mumbai",FIR-0237-2026
T020,9806192518,P020,Manoj Kadam,Jio,2025-04-28,"Andheri East, Mumbai",FIR-0305-2026
T021,9830337290,P021,Rakesh Mehta,Jio,2025-06-10,"Kalyan, Mumbai",FIR-0117-2026
T022,9872422231,P022,Aisha Jadhav,Jio,2025-11-19,"Vashi, Mumbai",FIR-0368-2026
T023,9820065142,P023,Santosh Yadav,Airtel,2024-12-24,"Bandra East, Mumbai",FIR-0393-2026
T024,9879591375,P024,Dinesh Ansari,Jio,2025-04-19,"Worli, Mumbai",FIR-0144-2026
T025,9856217697,P025,Vinod Bhatt,Jio,2025-06-17,"Sion, Mumbai",FIR-0430-2026
T026,9836174724,P026,Mahesh Shaikh,Airtel,2025-05-25,"Nagpada, Mumbai",FIR-0222-2026
T027,9846956583,P027,Neha Jadhav,Airtel,2025-12-27,"Worli, Mumbai",FIR-0478-2026
T028,9856890581,P028,Divya Patil,Vi,2025-08-05,"Nagpada, Mumbai",FIR-0365-2026
T029,9882494692,P029,Sunil Sheikh,Jio,2025-10-16,"Byculla, Mumbai",FIR-0139-2026
T030,9867658464,P030,Ajay More,Airtel,2025-04-17,"Kurla West, Mumbai",FIR-0345-2026
T031,9891940269,P031,Naresh Qureshi,Jio,2025-01-04,"Dharavi, Mumbai",FIR-0237-2026
T032,9899226532,P032,Ajay Yadav,BSNL,2025-10-27,"Chembur, Mumbai",FIR-0345-2026
T033,9840190744,P033,Ramesh Khan,BSNL,2025-01-28,"Andheri East, Mumbai",FIR-0276-2026
T034,9805020981,P034,Kiran Verma,Jio,2025-02-24,"Byculla, Mumbai",FIR-0345-2026
T035,9855631711,P035,Fatima Waghmare,Airtel,2025-03-09,"Govandi, Mumbai",FIR-0430-2026
T036,9812839562,P036,Manoj Kulkarni,Vi,2025-03-05,"Bandra East, Mumbai",FIR-0322-2026
T037,9892748695,P037,Vijay Ansari,Airtel,2025-02-01,"Chembur, Mumbai",FIR-0322-2026
T038,9801074764,P038,Anil Verma,BSNL,2025-10-09,"Dharavi, Mumbai",FIR-0334-2026
T039,9819342369,P039,Amit Mehta,Vi,2025-08-29,"Chembur, Mumbai",FIR-0158-2026
T040,9887061175,P040,Ashok Joshi,Jio,2025-12-11,"Kalyan, Mumbai",FIR-0373-2026
T041,9856596682,P041,Rakesh Sayyed,Vi,2025-07-03,"Mankhurd, Mumbai",FIR-0284-2026
T042,9851195185,P042,Divya Momin,BSNL,2025-10-14,"Nagpada, Mumbai",FIR-0284-2026
T043,9881548837,P043,Salim Naik,Jio,2025-01-21,"Andheri East, Mumbai",FIR-0365-2026
T044,9875652793,P044,Anjali Deshmukh,Jio,2025-12-04,"Kurla West, Mumbai",FIR-0222-2026
T045,9869624012,P045,Sneha Mehta,Jio,2025-07-16,"Chembur, Mumbai",FIR-0368-2026
T046,9872258685,P046,Javed Bhatt,Jio,2025-02-05,"Mankhurd, Mumbai",FIR-0222-2026
T047,9823911726,P047,Kiran Mehta,Vi,2025-03-25,"Shivaji Nagar, Mumbai",FIR-0158-2026
T048,9844837585,P048,Imran More,Jio,2025-04-12,"Bandra East, Mumbai",FIR-0393-2026
T049,9830296061,P049,Kiran Momin,Vi,2025-07-08,"Worli, Mumbai",FIR-0181-2026
T050,9841506919,P050,Mahesh Momin,Jio,2026-01-04,"Wadala, Mumbai",FIR-0170-2026|FIR-0295-2026
T051,9828078492,P051,Ravi Rao,Airtel,2025-01-16,"Shivaji Nagar, Mumbai",FIR-0305-2026
T052,9857952636,P052,Ashok Sheikh,BSNL,2025-04-29,"Andheri East, Mumbai",FIR-0117-2026|FIR-0170-2026|FIR-0295-2026
T053,9857455174,P053,Meena Joshi,Vi,2025-12-19,"Bandra East, Mumbai",FIR-0383-2026
T054,9856216810,P054,Yogesh Jadhav,Airtel,2025-06-22,"Mankhurd, Mumbai",FIR-0163-2026
T055,9821425195,P055,Neha Kadam,Airtel,2025-12-30,"Bandra East, Mumbai",FIR-0181-2026
T056,9809353657,P056,Arun Rane,Vi,2025-12-16,"Andheri East, Mumbai",FIR-0170-2026|FIR-0295-2026
T057,9829571000,P057,Ganesh Pawar,Vi,2025-11-02,"Shivaji Nagar, Mumbai",FIR-0305-2026
T058,9849386017,P058,Rajesh Patil,Airtel,2025-01-28,"Byculla, Mumbai",FIR-0383-2026
T059,9890047244,P059,Anil Sayyed,Jio,2025-04-03,"Sion, Mumbai",FIR-0144-2026
T060,9832446332,P060,Sunil Rao,Jio,2025-05-28,"Pune Camp, Pune",FIR-0117-2026
T061,9844888703,P061,Naresh Kulkarni,Airtel,2025-11-24,"Vashi, Mumbai",FIR-0284-2026
T062,9861493980,P062,Prakash Shaikh,Airtel,2025-11-26,"Kalyan, Mumbai",FIR-0383-2026
T063,9843913342,P063,Rehana Momin,Jio,2025-03-06,"Nagpada, Mumbai",FIR-0478-2026
T064,9871504968,P064,Vinod Bhosale,Jio,2025-06-30,"Byculla, Mumbai",FIR-0163-2026
T065,9864322089,P065,Zoya Pawar,Vi,2025-06-13,"Chembur, Mumbai",FIR-0478-2026
T066,9866012999,P066,Sanjay Kadam,Vi,2025-05-03,"Mankhurd, Mumbai",FIR-0144-2026
T067,9817771656,P067,Ajay Kadam,Jio,2025-01-15,"Andheri East, Mumbai",FIR-0365-2026
T068,9869125821,P068,Suresh Verma,BSNL,2025-05-11,"Byculla, Mumbai",FIR-0360-2026
T069,9855803876,P069,Salim Verma,Airtel,2025-06-04,"Kalyan, Mumbai",FIR-0430-2026
T070,9857823945,P070,Rohit Rane,BSNL,2025-09-17,"Andheri East, Mumbai",FIR-0334-2026
T071,9846134028,P071,Vinod Waghmare,Jio,2025-01-01,"Govandi, Mumbai",FIR-0430-2026
T072,9860353574,P072,Suresh Kulkarni,Jio,2025-11-06,"Pune Camp, Pune",FIR-0284-2026
T073,9802540435,P073,Yogesh Bhatt,Vi,2025-02-15,"Vashi, Mumbai",FIR-0222-2026
